preference_key,movie_title,star_cast,rating,year,place,vote,link
4,"Kill Bill, la venganza Volumen 1","Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.137846960717356,2003,151,,/title/tt0266697/
1,Sin lugar para los débiles,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.137052906279317,2007,152,,/title/tt0477348/
2,Buscando a Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131283679961884,2003,153,,/title/tt0266543/
3,El hombre elefante,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.129824033459197,1980,154,,/title/tt0080678/
4,Barrio Chino,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.12868519952039,1974,155,,/title/tt0071315/
1,El toro salvaje,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.127930431996909,1980,156,,/title/tt0081398/
2,La cosa del otro mundo,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.127634389114347,1982,157,,/title/tt0084787/
3,Lo que el viento se llevó,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.12466904330058,1939,158,,/title/tt0031381/
4,V de Venganza,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.12451130477951,2005,159,,/title/tt0434409/
1,Intensa Mente,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.122947215292518,2015,160,,/title/tt2096673/
2,"Juegos, trampas y dos pistolas humeantes","Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.121961559392611,1998,161,,/title/tt0120735/
3,Con M de Muerte,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.120053439010341,1954,162,,/title/tt0046912/
4,El secreto de sus ojos,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.11797728457255,2009,163,,/title/tt1305806/
1,El increíble castillo vagabundo,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.11541206495375,2004,164,,/title/tt0347149/
2,El puente sobre el río Kwai,"David Lean (dir.), William Holden, Alec Guinness",8.1128898711868,1957,165,,/title/tt0050212/
3,Tres anuncios por un crimen,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.111723963230107,2017,166,,/title/tt5027774/
4,La vida en el abismo,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.111089588833178,1996,167,,/title/tt0117951/
1,La última pelea,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.103850486424276,2011,168,,/title/tt1291584/
2,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.103267515166307,2008,169,,/title/tt1205489/
3,"Fargo, secuestro voluntario","Joel Coen (dir.), William H. Macy, Frances McDormand",8.10259544600004,1996,170,,/title/tt0116282/
4,Intriga,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.099533105839818,2013,171,,/title/tt1392214/
1,Mi vecino Totoro,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.09391347195897,1988,172,,/title/tt0096283/
