preference_key,movie_title,star_cast,rating,year,place,vote,link
4,Los cazadores del arca perdida,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.409046340441025,1981,55,,/title/tt0082971/
1,Django sin cadenas,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.405304501981847,2012,56,,/title/tt1853728/
2,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.393809864772674,2008,57,,/title/tt0910970/
3,La vida de los otros,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.385577373192952,2006,58,,/title/tt0405094/
4,El ocaso de una vida,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.382401002367658,1950,59,,/title/tt0043014/
1,La patrulla infernal,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.3724119861854,1957,60,,/title/tt0050825/
2,El resplandor,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.366324462595317,1980,61,,/title/tt0081505/
3,El gran dictador,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.365917008906683,1940,62,,/title/tt0032553/
4,Testigo de cargo,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.35953583742197,1957,63,,/title/tt0051201/
1,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.359270986692794,2018,64,,/title/tt4154756/
2,"Alien 2, el regreso","James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.343291798911807,1986,65,,/title/tt0090605/
3,Belleza americana,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.335045758392322,1999,66,,/title/tt0169547/
4,Spider-Man: Un nuevo universo,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.332736011276385,2018,67,,/title/tt4633694/
1,Dr Insólito o Cómo aprendí a no preocuparme y amar la bomba,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.331518340831064,1964,68,,/title/tt0057012/
2,Batman: El caballero de la noche asciende,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.327699327054251,2012,69,,/title/tt1345836/
3,Cinco días para vengarse,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",8.320250847384548,2003,70,,/title/tt0364569/
4,Guasón,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.316573383410844,2019,71,,/title/tt7286456/
1,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.316078854453105,1984,72,,/title/tt0086879/
2,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.315690912246897,2022,73,,/title/tt1745960/
3,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.314160062816018,1995,74,,/title/tt0114709/
4,Corazón valiente,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.314120956554143,1995,75,,/title/tt0112573/
1,Bastardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.313817584675911,2009,76,,/title/tt0361748/
2,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.313646738733622,2017,77,,/title/tt2380307/
3,El submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.31228211061439,1981,78,,/title/tt0082096/
4,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.303856339118937,2019,79,,/title/tt4154796/
1,La princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.303518639775548,1997,80,,/title/tt0119698/
2,Érase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.29814768080849,1984,81,,/title/tt0087843/
3,Mente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.288507836518276,1997,82,,/title/tt0119217/
4,Your Name,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.27853240345918,2016,83,,/title/tt5311514/
1,Réquiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.275948505013142,2000,84,,/title/tt0180093/
2,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.274452689947474,2010,85,,/title/tt0435761/
3,Cantando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.273495879746754,1952,86,,/title/tt0045152/
4,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.273203371045646,2009,87,,/title/tt1187043/
1,Cielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.26847697883897,1963,88,,/title/tt0057565/
2,El regreso del Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.265869214836082,1983,89,,/title/tt0086190/
3,2001: Odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.263976938116098,1968,90,,/title/tt0062622/
4,Eterno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.263262613662148,2004,91,,/title/tt0338013/
1,Perros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.262212148566952,1992,92,,/title/tt0105236/
2,Cafarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.261569407238113,2018,93,,/title/tt8267604/
3,La caza,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.256077856121406,2012,94,,/title/tt2106476/
4,El ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.255128286527915,1941,95,,/title/tt0033467/
1,Lawrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.25443000573648,1962,96,,/title/tt0056172/
2,"M, el Maldito","Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.254141252404507,1931,97,,/title/tt0022100/
3,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.251384104315393,1985,98,,/title/tt0091251/
4,Intriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.250306095251343,1959,99,,/title/tt0053125/
1, De entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.246382367605783,1958,10,,/title/tt0052357/
2,Amélie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.24424736192884,2001,101,,/title/tt0211915/
3,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.242707846696847,1971,102,,/title/tt0066921/
